急ぐ	9
へ	9
逢う	9
台所	9
公判廷	9
格子	9
ゆがむ	9
對立	9
昭和堂	9
行動	9
げに	9
髮	9
始める	9
こめる	9
ついに	9
いかにも	9
ぐるぐる	9
飮	9
合す	9
足音	9
醜い	9
もはや	9
のばす	9
掃除	9
借りる	9
農村	9
機会	9
沈む	9
もと	9
ふう	9
店	9
食う	9
平賀	9
そつ	9
恐怖	9
失ふ	9
只	9
狹	9
黨	9
小さい	9
細い	9
臺所	9
圍	8
すてる	8
加	8
棟	8
落ちこむ	8
高山	8
出来る	8
工場	8
担当	8
帰	8
足る	8
痺れる	8
折れる	8
ろ	8
興味	8
避ける	8
始まる	8
貸す	8
ひろげる	8
捕る	8
おぼえる	8
さめる	8
つめる	8
ぶん	8
凝	8
だいぶ	8
据る	8
個人	8
搖	8
願	8
此頃	8
日本	8
嘘	8
腦	8
すう	8
つたう	8
於	8
囚人	8
日光	8
診察	8
勞働	8
うち	8
鳴く	8
ふかい	8
報知	8
息	8
單	8
同じる	8
業病	8
客	8
容	8
自殺	8
葉書	8
投げる	8
どうにも	8
いつしか	8
心身	8
熱い	8
季	8
遠慮	8
吐く	8
北海道	8
出かける	8
農具	8
湯	8
打撃	8
戸口	8
離れる	8
まあ	8
意	8
燈	8
我慢	8
あわただしい	8
老婆	8
一体	8
齋藤	8
はう	8
倒れる	8
表面	8
血潮	8
顎	8
灼く	8
袖	8
合	8
作業	8
思い	8
さき	8
下げる	8
岩田	8
気	8
世話	7
都合	7
襖	7
萬	7
入口	7
にる	7
帶	7
落ち着く	7
しばしば	7
ふところ	7
悪い	7
親	7
切	7
剛	7
寫眞	7
四肢	7
許す	7
電車	7
針	7
姉さん	7
陰	7
刑	7
半身	7
立ち去る	7
よる	7
努力	7
拂	7
鉄格子	7
雜役	7
這入る	7
ます	7
醉	7
腕	7
册	7
手錠	7
輕	7
うなだれる	7
かかる	7
緊張	7
共同	7
はじめる	7
餘裕	7
主人	7
きちんと	7
吾	7
中洲	7
生れる	7
えらい	7
宿	7
過ぎる	7
始めて	7
眠	7
支る	7
とそ	7
うなづく	7
のく	7
ふれる	7
かねて	7
ずっと	7
ポスター	7
つぐむ	7
ちかい	7
雑役	7
典獄	7
例	7
古い	7
留守	7
張る	7
呼吸	7
構	7
落着く	7
默	7
要求	7
さつき	7
盡	7
新入り	7
理窟	7
て	7
心持ち	7
もれる	7
続く	7
どんなに	7
まとめる	7
故郷	7
土	6
棒	6
まん中	6
いいん	6
さして	6
便所	6
述べる	6
紐	6
たづ	6
ただ	6
上げる	6
うける	6
収容	6
強制	6
引取る	6
ぼる	6
明ける	6
光線	6
はたして	6
うかがう	6
山本	6
書類	6
件	6
人生	6
文書	6
犯す	6
揃	6
よろこぶ	6
柿色	6
淵	6
女中	6
見入る	6
絲	6
時には	6
集	6
あたらしい	6
速い	6
觸	6
うかと	6
うかがふ	6
繰り返す	6
幹部	6
眼鏡	6
押し込む	6
壯	6
灰	6
調べる	6
眉毛	6
望み	6
梅雨	6
白	6
發	6
迸る	6
仔細	6
愛する	6
ゴミ	6
様子	6
悲しい	6
気づく	6
やけに	6
社会	6
つね	6
去る	6
席	6
歩行	6
ぶらぶら	6
光	6
繩	6
誤診	6
謎	6
着	6
食事	6
すっかり	6
いたる	6
貼る	6
面持	6
川上	6
名前	6
南側	6
かたまり	6
遊ぶ	6
生じる	6
友人	6
迷	6
箱	6
着物	6
理由	6
とぶ	6
とく	6
目つき	6
ふだん	6
舌なめずり	6
流れ出る	6
お上	6
くれる	6
山	6
コトコト	6
正雄	6
議論	6
敵	6
堪える	6
力強い	6
不幸	6
向く	6
つる	6
撫でる	6
洗	6
矛盾	6
源吉	6
残す	6
押す	6
罪名	6
久しぶり	6
研究	6
臭い	6
合ふ	6
暁	6
肉体	6
光る	6
報告	6
豆	6
種	6
銚子	6
烈しい	6
なれる	6
さます	6
素晴らしい	6
樋	6
じつは	6
方法	6
浮く	6
慰め	6
包む	6
慘	6
裂ける	6
立ちどまる	6
甘い	6
情景	6
疲れはてる	6
行ける	6
曉	6
ええ	6
直に	6
山猫	6
内田	6
鍵	6
ひとしきり	6
伯父	6
風呂場	6
四貫島	6
投げ出す	6
比べる	6
ブツブツ	6
わめく	6
吐き出す	6
ぬぐ	6
ひす	6
なくなる	6
水飴	6
暑い	6
かんじる	6
室内	6
爭	6
正しい	6
毛	6
型	6
世	6
菌	6
配る	6
疑問	6
娘	6
割れる	6
軽い	6
ふとい	6
條	6
うだつ	6
瘠せる	6
枕	6
欠	6
立ちつくす	6
外貌	6
黒い	6
中心	5
垂れる	5
襲	5
たけ	5
犬	5
おそれ	5
咽喉	5
這	5
裁判所	5
べつ	5
